key,value,normvalue,date
Gesamt Corona Positive,0,0,01/01/19
Gesamt Corona Positive,0,0,01/02/19
Gesamt Corona Positive,0,0,01/03/19
Gesamt Corona Positive,0,0,01/04/19
Gesamt Corona Positive,0,0,01/05/19
Gesamt Corona Positive,0,0,01/06/19
Gesamt Corona Positive,0,0,01/07/19
Gesamt Corona Positive,0,0,01/08/19
Gesamt Corona Positive,0,0,01/09/19
Gesamt Corona Positive,0,0,01/10/19
Gesamt Corona Positive,0,0,01/11/19
Gesamt Corona Positive,0,0,01/12/19
Gesamt Corona Positive,0,0,01/13/19
Gesamt Corona Positive,0,0,01/14/19
Gesamt Corona Positive,0,0,01/15/19
Gesamt Corona Positive,0,0,01/16/19
Gesamt Corona Positive,0,0,01/17/19
Gesamt Corona Positive,0,0,01/18/19
Gesamt Corona Positive,0,0,01/19/19
Gesamt Corona Positive,0,0,01/20/19
Gesamt Corona Positive,0,0,01/21/19
Gesamt Corona Positive,0,0,01/22/19
Gesamt Corona Positive,0,0,01/23/19
Gesamt Corona Positive,0,0,01/24/19
Gesamt Corona Positive,0,0,01/25/19
Gesamt Corona Positive,0,0,01/26/19
Gesamt Corona Positive,0,0,01/27/19
Gesamt Corona Positive,0,0,01/28/19
Gesamt Corona Positive,0,0,01/29/19
Gesamt Corona Positive,0,0,01/30/19
Gesamt Corona Positive,0,0,01/31/19
Gesamt Corona Positive,0,0,02/01/19
Gesamt Corona Positive,0,0,02/02/19
Gesamt Corona Positive,0,0,02/03/19
Gesamt Corona Positive,0,0,02/04/19
Gesamt Corona Positive,0,0,02/05/19
Gesamt Corona Positive,0,0,02/06/19
Gesamt Corona Positive,0,0,02/07/19
Gesamt Corona Positive,0,0,02/08/19
Gesamt Corona Positive,0,0,02/09/19
Gesamt Corona Positive,0,0,02/10/19
Gesamt Corona Positive,0,0,02/11/19
Gesamt Corona Positive,0,0,02/12/19
Gesamt Corona Positive,0,0,02/13/19
Gesamt Corona Positive,0,0,02/14/19
Gesamt Corona Positive,0,0,02/15/19
Gesamt Corona Positive,0,0,02/16/19
Gesamt Corona Positive,0,0,02/17/19
Gesamt Corona Positive,0,0,02/18/19
Gesamt Corona Positive,0,0,02/19/19
Gesamt Corona Positive,0,0,02/20/19
Gesamt Corona Positive,0,0,02/21/19
Gesamt Corona Positive,0,0,02/22/19
Gesamt Corona Positive,0,0,02/23/19
Gesamt Corona Positive,0,0,02/24/19
Gesamt Corona Positive,0,0,02/25/19
Gesamt Corona Positive,0,0,02/26/19
Gesamt Corona Positive,0,0,02/27/19
Gesamt Corona Positive,0,0,02/28/19
Gesamt Corona Positive,0,0,03/01/19
Gesamt Corona Positive,0,0,03/02/19
Gesamt Corona Positive,0,0,03/03/19
Gesamt Corona Positive,0,0,03/04/19
Gesamt Corona Positive,0,0,03/05/19
Gesamt Corona Positive,0,0,03/06/19
Gesamt Corona Positive,0,0,03/07/19
Gesamt Corona Positive,0,0,03/08/19
Gesamt Corona Positive,0,0,03/09/19
Gesamt Corona Positive,0,0,03/10/19
