key,value,normvalue,date
Fallzahlen,01,0.0,01/01/19
Fallzahlen,02,0.0,02/01/19
Fallzahlen,03,0.0,03/01/19
Fallzahlen,04,0.0,04/01/19
Fallzahlen,05,0.0,05/01/19
Fallzahlen,06,0.0,06/01/19
Fallzahlen,07,0.0,07/01/19
Fallzahlen,08,0.0,08/01/19
Fallzahlen,09,0.0,09/01/19
Fallzahlen,010,0.0,10/01/19
Fallzahlen,011,0.0,11/01/19
Fallzahlen,012,0.0,12/01/19
Flugdaten,010,0.9,01/01/19
Flugdaten,020,0.95,02/01/19
Flugdaten,030,0.8,03/01/19
Flugdaten,040,0.86,04/01/19
Flugdaten,050,0.92,05/01/19
Flugdaten,060,0.84,06/01/19
Flugdaten,070,0.91,07/01/19
Flugdaten,080,0.98,08/01/19
Flugdaten,090,0.97,09/01/19
Flugdaten,0100,0.92,10/01/19
Flugdaten,0110,0.91,11/01/19
Flugdaten,0120,0.9,12/01/19
Abweichung,01000,0.3,01/01/19
Abweichung,02000,0.2,02/01/19
Abweichung,03000,0.3,03/01/19
Abweichung,04000,0.4,04/01/19
Abweichung,05000,0.3,05/01/19
Abweichung,06000,0.2,06/01/19
Abweichung,07000,0.2,07/01/19
Abweichung,08000,0.3,08/01/19
Abweichung,09000,0.2,09/01/19
Abweichung,010000,0.4,10/01/19
Abweichung,011000,0.2,11/01/19
Abweichung,012000,0.2,12/01/19
