STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3379;20190614;   10;  11.1;   3.0;    3;   0.0;   0;   11.900;-999;   3.5;  16.0;  954.34;   23.0;   59.46;   30.8;   13.0;   11.4;eor
       3379;20190615;   10;  20.8;   3.4;    3;   6.7;   6;    7.817;-999;   5.5;  15.8;  953.36;   22.1;   60.58;   26.3;   14.1;   13.8;eor
       3379;20190616;   10;   7.9;   2.9;    3;   0.0;   6;    2.050;-999;  -999;  14.6;  959.96;   16.8;   77.25;   22.2;   13.8;   12.4;eor
       3379;20190617;   10;   9.5;   3.0;    3;   0.0;   0;   13.767;-999;  -999;  14.8;  958.35;   19.7;   66.75;   26.0;   12.3;   10.8;eor
       3379;20190618;   10;   9.0;   2.0;    3;   0.0;   0;   14.117;-999;   2.8;  14.9;  954.74;   22.0;   59.08;   28.9;   14.0;   12.6;eor
       3379;20190619;   10;  11.1;   2.1;    3;   1.5;   6;   11.917;-999;   3.6;  12.8;  951.65;   23.9;   46.08;   30.7;   17.2;   16.4;eor
       3379;20190620;   10;  15.8;   2.6;    3;  18.2;   6;    2.967;-999;   6.5;  16.0;  953.89;   19.1;   73.79;   25.1;   15.0;   14.1;eor
       3379;20190621;   10;   6.8;   2.1;    3;   8.4;   6;    7.567;-999;   6.9;  16.3;  956.95;   19.1;   75.46;   25.3;   14.2;   12.9;eor
       3379;20190622;   10;  13.7;   2.7;    3;  14.2;   6;    4.200;-999;   7.8;  16.9;  955.73;   18.5;   80.79;   24.6;   14.7;   13.8;eor
       3379;20190623;   10;   6.1;   2.0;    3;   0.1;   6;    4.333;-999;   6.3;  17.3;  957.57;   19.1;   79.25;   23.6;   15.5;   14.6;eor
       3379;20190624;   10;  10.6;   3.6;    3;   0.0;   0;   14.883;-999;   1.8;  17.3;  959.76;   22.3;   66.50;   28.8;   16.2;   14.4;eor
       3379;20190625;   10;   5.2;   2.0;    3;   0.0;   0;   14.750;-999;   3.0;  18.3;  960.38;   24.5;   62.46;   32.6;   15.7;   14.0;eor
       3379;20190626;   10;   5.2;   1.7;    3;   0.0;   0;   14.650;-999;   2.1;  19.4;  962.49;   27.0;   58.54;   34.5;   18.2;   16.7;eor
       3379;20190627;   10;   9.8;   2.9;    3;   0.0;   0;   14.200;-999;   0.5;  19.6;  961.52;   26.8;   56.17;   32.8;   19.1;   16.0;eor
       3379;20190628;   10;   7.3;   2.0;    3;   0.0;   0;   15.583;-999;   0.0;  11.4;  961.14;   22.3;   44.00;   28.7;   15.2;   13.0;eor
       3379;20190629;   10;   9.6;   2.7;    3;   0.0;   0;   15.633;-999;   0.0;  13.6;  959.15;   22.9;   52.71;   30.0;   14.8;   13.0;eor
       3379;20190630;   10;  11.7;   3.1;    3;   0.0;   0;   15.250;-999;   1.0;  14.7;  956.78;   26.6;   46.67;   35.2;   15.2;   13.6;eor
       3379;20190701;   10;  15.9;   3.4;    3;   5.9;   6;    5.767;-999;   6.6;  17.4;  956.80;   24.4;   58.04;   32.9;   18.8;   17.3;eor
       3379;20190702;   10;   9.0;   2.4;    3;   0.0;   0;    7.533;-999;   6.2;  15.4;  958.47;   21.3;   62.33;   25.7;   16.3;   14.0;eor
       3379;20190703;   10;   6.8;   2.1;    3;   0.0;   0;   13.467;-999;   5.1;  11.8;  959.40;   19.7;   52.42;   25.0;   14.7;   12.7;eor
       3379;20190704;   10;   7.2;   2.1;    3;   0.0;   0;   15.300;-999;   1.1;  10.3;  959.51;   20.0;   46.17;   26.9;   12.6;   10.9;eor
       3379;20190705;   10;  11.6;   2.6;    3;   0.0;   0;   13.200;-999;   6.4;  11.6;  956.69;   22.1;   46.54;   28.6;   13.7;   11.9;eor
       3379;20190706;   10;  14.1;   3.6;    3;   0.4;   6;    9.600;-999;   5.1;  12.8;  952.17;   24.4;   43.67;   31.6;   17.2;   14.8;eor
       3379;20190707;   10;  14.5;   2.8;    3;  13.0;   6;    3.500;-999;   7.5;  16.3;  952.03;   19.1;   73.88;   23.5;   14.4;   13.5;eor
       3379;20190708;   10;   9.2;   2.2;    3;   0.9;   6;    0.767;-999;   7.8;  13.7;  955.88;   15.7;   77.38;   18.9;   13.1;   12.6;eor
